Fecha	Vista	
14/08/2019	64225871,04	
13/08/2019	199635077,14	
12/08/2019	176724926,17	
09/08/2019	269282780,43	
08/08/2019	231123334,85	
07/08/2019	267049778,20	
06/08/2019	109005556,46	
05/08/2019	224572721,23	
02/08/2019	101832696,18	
01/08/2019	159532960,98	
31/07/2019	227396808,50	
30/07/2019	178346822,45	
29/07/2019	50637873,99	
26/07/2019	146210997,03	
25/07/2019	48879626,90	
23/07/2019	58263219,34	
22/07/2019	220630791,82	
19/07/2019	288525054,88	
18/07/2019	93336753,57	
17/07/2019	226904923,07	
16/07/2019	46623763,65	
15/07/2019	249394914,98	
12/07/2019	11984811,85	
11/07/2019	284134343,61	
10/07/2019	94980617,02	
09/07/2019	9352383,61	
08/07/2019	265325989,25	
04/07/2019	152245325,55	
03/07/2019	159677263,67	
02/07/2019	140611545,55	
01/07/2019	68407047,47	
28/06/2019	279856829,96	
27/06/2019	228958321,76	
26/06/2019	127235929,56	
25/06/2019	240068282,74	
21/06/2019	62744901,40	
20/06/2019	160822216,94	
19/06/2019	58836004,46	
18/06/2019	6282990,07	
14/06/2019	205708466,27	
13/06/2019	18926304,61	
12/06/2019	171744396,06	
11/06/2019	50589515,30	
10/06/2019	73033699,50	
07/06/2019	251192359,47	
06/06/2019	79634355,27	
05/06/2019	147620982,54	
04/06/2019	279194892,49	
31/05/2019	280190313,46	
30/05/2019	59473991,15	
29/05/2019	202542643,04	
28/05/2019	297690206,81	
27/05/2019	118269530,27	
24/05/2019	9178694,33	
23/05/2019	197652020,47	
22/05/2019	183078898,70	
21/05/2019	90811194,46	
20/05/2019	168714805,10	
17/05/2019	144161937,88	
16/05/2019	230781843,00	
15/05/2019	89601091,28	
14/05/2019	217536819,36	
13/05/2019	50440136,81	
10/05/2019	140646067,26	
09/05/2019	59773607,60	
08/05/2019	31735219,74	
07/05/2019	210306478,16	
06/05/2019	127269650,56	
03/05/2019	248272883,80	
02/05/2019	91589443,28	
30/04/2019	193961720,62	
29/04/2019	181091859,65	
26/04/2019	12461433,93	
25/04/2019	146305632,77	
24/04/2019	78948977,89	
23/04/2019	124786484,94	
22/04/2019	21079020,55	
16/04/2019	245540780,07	
15/04/2019	160694056,12	
12/04/2019	272661158,72	
11/04/2019	274220319,55	
10/04/2019	255799330,26	
09/04/2019	151035114,85	
08/04/2019	39907088,12	
05/04/2019	102567783,85	
04/04/2019	157616407,09	
03/04/2019	112385570,64	
02/04/2019	122281401,09	
01/04/2019	56481797,03	
29/03/2019	275994996,40	
28/03/2019	68101186,86	
27/03/2019	159289375,30	
26/03/2019	237291536,83	
25/03/2019	235905293,89	
22/03/2019	42301790,23	
21/03/2019	221517615,84	
20/03/2019	79377896,84	
